Fecha,Local,Visit,Local pitcher,Visit pitcher
7152,20200925.0,Royals,Tigers,B. Keller ,S. Turnbull 
6469,20200725.0,Rangers,Rockies,M. Minor ,J. Gray
5237,20190617.0,Twins,R.Sox,J. Berrios ,R. Porcello 
3331,20180715.0,Braves,Diamondbacks,J. Teheran ,P. Corbin 
6535,20200731.0,Giants,Rangers,L. Webb,M. Minor 
864,20170630.0,Blue,R.Sox,M. Estrada,D. Fister
4243,20190321.0,Reds,Royals,A. DeSclafani,H. Fillmyer
8084,20210615.0,Blue,Yankees,H. Ryu,J. Montgomery
6483,20200726.0,Astros,Mariners,Z. Greinke,Y. Kikuchi
451,20170527.0,Nationals,Padres,S. Strasburg ,C. Richard 
2459,20180506.0,Cardinals,Cubs,M. Wacha,J. Lester
3808,20180827.0,Cubs,Mets,J. Lester,N. Syndergaard
3993,20180911.0,Mariners,Padres,M. Gonzales,B. Mitchell
8251,20210628.0,Brewers,Cubs,F. Peralta,K. Hendricks
1758,20170914.0,Cardinals,Reds,L. Weaver ,A. Garrett 
9293,20210926.0,Rockies,Giants,A. Senzatela,K. Gausman
3107,20180627.0,Astros,Blue,D. Keuchel,M. Estrada
5821,20190809.0,Mets,Nationals,M. Stroman,S. Strasburg
819,20170626.0,Guardians,Rangers,C. Carrasco,C. Hamels
510,20170531.0,Royals,Tigers,I. Kennedy ,M. Boyd
7397,20210418.0,Mariners,Astros,N. Margevicius,J. Odorizzi 
7082,20200920.0,Orioles,Rays,J. Means ,R. Yarbrough 
5124,20190608.0,Phillies,Reds,N. Pivetta ,T. Roark 
6977,20200909.0,Giants,Mariners,T. Anderson ,N. Margevicius 
353,20170519.0,Tigers,Rangers,D. Norris ,N. Martinez 
2502,20180510.0,Rockies,Brewers,G. Marquez ,J. Chacin 
2243,20180420.0,White,Astros,J. Shields ,J. Verlander 
9935,20220524.0,Astros,Guardians,F. Valdez ,Z. Plesac 
5140,20190609.0,Mets,Rockies,N. Syndergaard ,J. Hoffman 
6223,20190912.0,Mets,Diamondbacks,M. Stroman ,A. Young 
9738,20220508.0,Reds,Pirates,T. Mahle,Z. Thompson
1249,20170804.0,Cubs,Nationals,K. Hendricks ,T. Roark 
4655,20190428.0,Astros,Guardians,W. Miley,C. Carrasco 
527,20170602.0,Tigers,White,M. Fulmer ,D. Holland 
8580,20210729.0,Royals,White,C. Hernandez ,C. Rodon 
8213,20210625.0,Padres,Diamondbacks,C. Paddack,C. Martin 
8165,20210621.0,Mets,Braves,J. Eickhoff,I. Anderson 
2112,20180409.0,Rangers,Angels,D. Fister ,G. Richards
6476,20200725.0,Padres,Diamondbacks,D. Lamet ,R. Ray 
578,20170606.0,Athletics,Blue,J. Hahn ,M. Estrada 
1303,20170809.0,Guardians,Rockies,T. Bauer,A. Senzatela
7620,20210507.0,Guardians,Reds,Z. Plesac,W. Miley 
318,20170516.0,Blue,Braves,M. Estrada,J. Garcia
1070,20170720.0,Mariners,Yankees,F. Hernandez ,L. Severino 
6346,20190921.0,Padres,Diamondbacks,C. Quantrill,L. Weaver
5555,20190717.0,Orioles,Nationals,A. Brooks,E. Fedde
415,20170524.0,Yankees,Royals,L. Severino ,J. Hammel 
10369,20220630.0,Astros,Yankees,L. Garcia ,L. Severino 
9317,20210928.0,Mariners,Athletics,T. Anderson,C. Bassitt
8636,20210803.0,Blue,Guardians,H. Ryu ,Z. Plesac 
6295,20190917.0,Astros,Rangers,J. Verlander ,L. Lynn 
7763,20210519.0,Blue,R.Sox,R. Stripling ,G. Richards 
5425,20190703.0,Rockies,Astros,P. Lambert ,W. Miley 
6107,20190902.0,Yankees,Rangers,M. Tanaka ,M. Minor 
9429,20220411.0,Braves,Nationals,H. Ynoa ,J. Rogers 
1890,20170924.0,Diamondbacks,Marlins,P. Corbin,D. Straily
1344,20170812.0,Brewers,Reds,B. Suter,S. Feldman
4952,20190525.0,Twins,White,K. Gibson ,M. Banuelos 
6367,20190923.0,Diamondbacks,Cardinals,A. Young ,A. Wainwright 
6273,20190915.0,Rockies,Padres,C. Gonzalez,C. Quantrill 
