Fecha,Local,Visit,Local Score,Visit Score,Local i5,Visit i5,Local Hits,Visit Hits,Local pitcher,Local pitcher in,Local pitcher ERA,Local pitcher Hit ERA,Local pitcher K ERA,Local pitcher BB ERA,Visit pitcher,Visit pitcher in,Visit pitcher ERA,Visit pitcher Hit ERA,Visit pitcher K ERA,Visit pitcher BB ERA,Local Win?,L bullpen recieved,V bullpen recieved
20150412,Athletics,Mariners,7.0,8.0,3.0,0.0,14.0,7.0,J. Hahn,5.2,4.0,3.0,2.0,2.0,F. Hernandez,5.0,3.0,8.0,1.0,2.0,0.0,4.0,4.0
20150412,Padres,Giants,6.0,4.0,4.0,2.0,9.0,7.0,T. Ross ,6.0,3.0,5.0,8.0,4.0,J. Peavy ,4.0,4.0,4.0,5.0,3.0,1.0,1.0,2.0
20150412,Rockies,Cubs,5.0,6.0,5.0,3.0,11.0,7.0,J. Lyles,6.0,3.0,5.0,3.0,3.0,K. Hendricks,4.1,5.0,8.0,3.0,1.0,0.0,3.0,0.0
20150412,Diamondbacks,Dodgers,4.0,7.0,0.0,3.0,10.0,16.0,J. Collmenter ,5.0,3.0,9.0,1.0,1.0,Z. Greinke ,7.0,0.0,5.0,7.0,0.0,0.0,4.0,4.0
20150412,Yankees,Red,14.0,4.0,10.0,4.0,16.0,8.0,M. Tanaka ,5.0,4.0,4.0,4.0,3.0,C. Buchholz ,3.1,10.0,9.0,3.0,2.0,1.0,0.0,4.0
20150413,Mets,Phillies,2.0,0.0,1.0,0.0,6.0,7.0,J. deGrom ,6.1,0.0,7.0,3.0,1.0,A. Harang ,6.0,1.0,4.0,1.0,2.0,1.0,0.0,1.0
20150413,Pirates,Tigers,5.0,4.0,2.0,0.0,9.0,7.0,G. Cole ,6.0,1.0,3.0,8.0,2.0,A. Sanchez ,6.1,5.0,8.0,9.0,0.0,1.0,3.0,0.0
20150413,Red,Nationals,9.0,4.0,8.0,2.0,13.0,4.0,R. Porcello ,8.0,4.0,4.0,6.0,1.0,J. Zimmermann ,2.1,8.0,9.0,0.0,1.0,1.0,0.0,1.0
20150413,Twins,Royals,3.0,12.0,1.0,2.0,7.0,13.0,T. May ,5.1,5.0,8.0,4.0,1.0,D. Duffy ,6.1,3.0,6.0,3.0,1.0,0.0,7.0,0.0
20150413,Cardinals,Brewers,4.0,5.0,2.0,2.0,9.0,8.0,A. Wainwright ,7.0,5.0,8.0,4.0,1.0,M. Garza ,5.2,2.0,6.0,4.0,5.0,0.0,0.0,2.0
20150413,Giants,Rockies,0.0,2.0,0.0,1.0,5.0,11.0,C. Heston ,7.0,2.0,7.0,5.0,2.0,E. Butler ,5.1,0.0,5.0,1.0,6.0,0.0,0.0,0.0
20150413,Orioles,Yankees,5.0,6.0,2.0,2.0,11.0,7.0,W. Chen,6.0,2.0,4.0,4.0,1.0,M. Pineda ,6.1,5.0,9.0,9.0,0.0,0.0,4.0,0.0
20150413,Blue,Rays,1.0,2.0,1.0,2.0,2.0,3.0,R.A. Dickey ,6.0,2.0,3.0,6.0,5.0,J. Odorizzi ,8.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0
20150413,Braves,Marlins,3.0,2.0,3.0,1.0,7.0,6.0,S. Miller ,5.0,1.0,3.0,1.0,2.0,M. Latos ,4.0,3.0,5.0,5.0,3.0,1.0,1.0,0.0
20150413,Rangers,Angels,3.0,6.0,3.0,5.0,7.0,12.0,R. Detwiler ,5.2,5.0,8.0,3.0,4.0,M. Shoemaker ,6.1,3.0,6.0,7.0,1.0,0.0,1.0,0.0
20150413,Cubs,Reds,7.0,6.0,3.0,3.0,10.0,13.0,J. Lester,6.0,6.0,10.0,4.0,0.0,M. Leake,7.0,4.0,7.0,4.0,1.0,1.0,0.0,3.0
20150413,Astros,Athletics,1.0,8.0,1.0,8.0,5.0,12.0,S. Feldman ,5.0,8.0,10.0,0.0,1.0,S. Kazmir ,6.0,1.0,3.0,8.0,3.0,0.0,0.0,0.0
20150413,Dodgers,Mariners,6.0,5.0,5.0,5.0,9.0,6.0,B. McCarthy,7.0,5.0,6.0,10.0,0.0,J. Paxton,6.1,5.0,6.0,6.0,2.0,1.0,0.0,1.0
